Sum of current_firm,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,Grand Total
85,2,6,2,0,0,2,0,0,2,6,2,0,0,2,0,6,2,0,0,2,2,0,0,2,6,2,0,6,2,0,0,2,0,0,2,6,2,2,2,6,2,0,0,2,0,0,2,0,0,2,2,0,0,2,0,0,2,90
86,2,2,2,0,6,6,6,2,2,0,0,2,2,0,6,0,0,2,2,0,0,2,0,0,2,0,6,6,0,0,2,0,6,0,0,2,2,2,6,2,2,2,2,0,0,2,2,0,0,2,2,2,2,2,2,2,2,106
87,0,6,4,0,6,4,0,6,4,0,6,4,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,4,0,0,6,4,0,0,0,0,0,6,4,0,0,0,0,6,4,6,4,4,6,4,0,0,0,0,0,6,120
88,6,0,0,6,0,8,6,8,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,6,0,6,0,8,6,8,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,6,0,8,0,6,0,6,0,0,0,0,120
89,2,2,2,0,0,0,0,0,6,0,0,0,0,0,0,6,6,5,0,0,0,6,0,0,6,6,5,5,5,5,0,0,0,0,6,5,5,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,95
90,2,0,6,4,0,6,4,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,0,0,6,4,0,0,0,82
91,2,2,8,8,8,6,8,0,6,8,0,0,0,8,0,0,0,8,6,0,0,8,6,8,0,8,6,0,0,0,0,8,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,154
92,2,2,4,4,4,0,0,4,4,4,4,6,6,0,6,0,0,4,0,0,4,0,6,0,0,4,4,4,4,4,4,6,4,0,0,4,4,4,0,6,0,0,4,0,0,4,4,4,4,0,0,4,4,4,0,0,4,152
93,8,0,6,8,0,0,8,0,0,8,8,6,6,6,8,6,0,8,0,0,8,8,0,0,0,8,0,0,8,6,0,0,8,8,0,0,8,0,0,0,0,8,0,0,0,8,0,0,0,0,8,0,0,0,8,8,0,188
94,0,0,2,2,0,0,2,0,0,2,6,2,2,0,0,2,0,0,2,6,0,0,2,2,2,0,0,2,2,0,6,0,0,2,2,2,0,6,2,0,6,2,0,6,2,0,0,2,0,6,2,2,6,2,0,0,2,96
95,0,6,4,4,0,6,0,0,6,4,4,0,0,0,0,6,0,0,6,4,4,4,4,6,0,0,0,0,6,6,4,4,4,4,4,4,4,4,4,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,128
96,2,6,2,2,2,0,6,2,0,0,2,2,2,2,0,0,2,0,0,2,0,6,2,2,0,0,2,0,0,2,0,6,2,0,6,2,0,0,2,0,0,2,6,2,0,0,2,0,0,2,0,0,2,0,0,2,6,90
97,4,2,4,4,2,4,2,4,2,4,2,4,2,2,4,2,4,2,4,2,2,4,2,4,2,4,2,4,2,4,2,2,4,2,4,2,4,2,4,2,4,4,2,4,2,4,2,4,2,2,2,2,4,2,4,2,4,168
98,2,0,0,2,0,0,2,0,0,2,6,2,6,2,0,6,2,0,0,2,6,2,0,0,2,6,2,2,6,2,0,0,2,0,0,2,6,0,0,2,6,2,6,2,0,0,2,6,2,0,0,2,0,0,2,0,0,104
99,2,2,2,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,0,6,0,0,0,6,4,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,70
100,4,2,4,2,4,4,4,2,4,2,4,2,2,4,4,2,2,2,4,2,4,2,4,2,4,2,4,4,4,2,2,2,2,4,4,2,4,2,2,2,4,2,2,4,2,4,4,2,4,2,4,2,4,2,2,4,2,168
101,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,6,6,2,2,2,0,0,0,0,6,2,2,2,2,6,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,62
102,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,8,0,8,8,8,8,0,8,8,8,8,0,0,2,2,154
103,4,2,2,4,2,2,2,4,2,4,2,4,2,4,2,2,2,2,4,2,2,2,4,2,2,2,2,2,2,4,4,2,4,4,4,2,2,4,2,2,2,4,2,4,4,4,2,2,2,2,4,4,2,4,2,4,2,158
104,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,4,158
